pctcuota_inicial__c,Presupuesto_inmueble_a_comprar__c,de_ingresos_sobre_el_inmueble__c,picklist_ciudad__c,Calidad_de_lead__c
2.33,300000000.0,1.71,1,-1
1.0,200000000.0,1.41,1,-1
4405.569988670977,248711054.43550834,-20.0,1,-1
0.0,18000000.0,10.0,1,-1
0.0,170000000.0,1.76,1,-1
2.78,180000000.0,1.71,1,-1
9.52,210000000.0,1.58,1,-1
16.67,120000000.0,5.0,1,1
11.36,220000000.0,2.56,1,-1
0.0,500000000.0,3.6,1,-1
16.0,150000000.0,3.73,1,0
4405.569988670977,248711054.43550834,-30.0,1,-1
10.0,200000000.0,3.33,1,-1
4405.569988670977,0.0,-910.2272465557459,1,-1
0.0,250000000.0,0.58,1,-1
13.33,300000000.0,2.69,1,-1
3.33,150000000.0,1.72,0,-1
2.5,400000000.0,1.41,1,-1
1.5,200000000.0,0.81,1,-1
15.0,200000000.0,5.88,1,0
15.63,160000000.0,1.48,1,-1
18.0,250000000.0,1.95,1,-1
5.0,100000000.0,1.58,0,-1
15.0,80000000.0,3.53,0,-1
2.5,400000000.0,2.31,1,-1
4.17,120000000.0,2.43,0,-1
8.0,500.0,3.91,1,-1
8.0,500000000.0,3.91,1,-1
0.0,90000000.0,1.29,1,-1
8.57,350000000.0,1.59,1,-1
4.0,250000000.0,0.71,1,-1
4405.569988670977,248711054.43550834,-13.5,1,-1
4405.569988670977,248711054.43550834,-433333.33,1,-1
2.7,185000000.0,2.17,1,-1
4.04,198000000.0,0.84,1,-1
12.0,250000000.0,0.91,0,-1
5.0,200000000.0,1.05,1,-1
20.0,100000000.0,2.5,0,-1
100.0,10000000.0,-910.2272465557459,1,-1
4.86,350000000.0,1.8,1,-1
17.14,175000000.0,3.1,1,1
16.92,130000000.0,5.56,0,-1
25.0,120000000.0,2.0,0,-1
80.0,25000000.0,36.0,1,-1
17.39,230000000.0,1.68,1,-1
0.0,120000000.0,2.08,0,-1
4000.0,500000.0,-42.15,1,-1
0.8,250000000.0,2.42,1,-1
6.67,150000000.0,0.79,1,-1
1.0,400000000.0,1.77,1,-1
8.33,180000000.0,2.42,1,-1
